iteration,state,occupation,age,gender,name,capacity,time,cures,action
0,healthy,doctor,33,woman,Elyse Barnett,10,715,0,save
0,injured,other,31,woman,Gayle Hodge,10,682,1,save
0,corpse,other,80,woman,Ainsley Woods,10,648,0,save
0,zombie,other,74,woman,Lacy Cochran,10,607,0,skip
0,injured,other,21,woman,Ida Monroe,10,589,0,save
0,injured,other,60,woman,Tammy Matthews,10,556,0,save
0,injured,other,14,woman,Sophia Snyder,10,524,0,save
0,healthy,other,8,man,Tevin Alvarez,10,492,0,save
0,healthy,doctor,64,man,Joel Carey,10,460,0,save
0,healthy,other,56,man,Martin Galindo,10,426,1,save
0,healthy,other,71,woman,Abby Mays,10,394,1,save
0,zombie,doctor,44,man,Mason Clay,10,358,1,scram
0,corpse,other,18,man,Mickey Hickman,10,234,0,skip
0,healthy,other,25,woman,Nancy Welch,10,217,0,save
0,corpse,other,79,man,Alejandro Zavala,10,185,0,skip
0,healthy,other,17,woman,Christie Nolan,10,167,0,save
0,injured,doctor,58,woman,Addison Craig,10,125,0,scram
0,healthy,engineer,39,man,Fernando Glass,10,3,0,scram
1,zombie,other,33,woman,Bertha Estes,10,714,0,squish
1,injured,doctor,54,woman,Geraldine Rodgers,10,707,0,save
1,healthy,other,9,man,Porter Compton,10,675,1,save
1,zombie,other,20,woman,Kamryn Potts,10,642,1,skip
1,zombie,engineer,59,man,Gerardo Hall,10,623,1,skip
1,healthy,doctor,61,woman,Michele Meyers,10,606,1,save
1,injured,other,57,man,Mark Preston,10,573,2,save
1,healthy,other,62,man,Irvin Miranda,10,541,1,save
1,zombie,other,61,woman,Marian Johns,10,506,1,skip
1,injured,other,64,man,Lonnie Shepard,10,489,1,save
1,injured,engineer,66,man,Robin Santana,10,457,0,save
1,zombie,other,78,woman,Ann Mcclain,10,418,0,skip
1,injured,other,10,man,Bailey Coffey,10,401,0,save
1,zombie,other,20,man,Felipe Esparza,10,368,0,squish
1,healthy,doctor,61,woman,Amaya Escobar,10,361,0,save
1,injured,other,78,man,Dorian Harrison,10,328,1,save
1,injured,other,26,woman,Deloris Meadows,10,295,0,save
1,injured,other,32,woman,Payton Bush,10,259,0,save
1,zombie,other,12,man,Donny Delarosa,10,225,0,save
1,injured,doctor,58,man,Irvin Beard,10,190,0,save
1,corpse,other,78,woman,Johnnie Meza,10,156,1,save
1,injured,doctor,61,woman,Catherine Cameron,10,121,1,scram
2,healthy,other,17,man,Ethan Waters,10,715,0,save
2,zombie,other,58,man,Rory West,10,682,0,squish
2,injured,other,10,man,Demarcus Yoder,10,675,0,save
2,zombie,other,16,woman,Carolyn Ford,10,639,0,skip
2,injured,other,70,man,Julio Huffman,10,622,0,save
2,healthy,other,9,man,Maddox Robles,10,589,0,save
2,healthy,other,59,woman,Kari Estes,10,557,0,save
2,zombie,engineer,38,woman,Joselyn Stone,10,524,0,squish
2,zombie,other,52,man,Kolton Mcdowell,10,517,0,squish
2,corpse,other,15,man,Rudy Barry,10,509,0,skip
2,zombie,other,29,woman,Kelley Kent,10,491,0,squish
