iteration,state,occupation,age,gender,name,capacity,time,cures,action
0,healthy,engineer,34,woman,Kelsie Guerrero,10,720,0,save
0,zombie,other,35,woman,Vera May,10,720,0,squish
0,healthy,other,10,woman,Jamie Meyers,10,715,0,save
0,injured,doctor,42,woman,Lucia Kelly,10,685,0,save
0,injured,other,60,woman,Lilly Mullins,10,655,1,save
0,healthy,engineer,53,woman,Jaime Green,10,625,0,save
0,injured,other,39,man,Alex Spence,10,655,0,skip
0,zombie,other,17,man,Keaton Esquivel,10,640,0,squish
0,corpse,other,14,woman,Shelia Small,10,635,0,squish
0,injured,doctor,61,woman,Willow Lynn,10,630,0,save
0,healthy,other,72,man,Ira Weeks,10,600,1,save
0,zombie,other,15,woman,Krista Webster,10,570,1,squish
0,healthy,other,11,woman,Keira Cline,10,565,1,save
0,healthy,other,15,man,Taylor Santos,10,535,1,save
0,injured,other,35,woman,Esmeralda Levy,10,505,1,save
0,zombie,engineer,52,man,Randal Marsh,10,475,0,scram
0,injured,doctor,38,man,Brendon Campbell,10,355,0,save
0,healthy,other,47,man,Quintin Shields,10,325,1,save
0,injured,other,73,man,Emilio Russo,10,295,1,save
0,healthy,other,15,man,Dallas Buchanan,10,265,0,save
0,corpse,other,65,woman,Esther Freeman,10,235,0,squish
0,injured,other,80,woman,Ethel Maldonado,10,230,0,skip
0,zombie,other,8,man,Carroll Sims,10,215,0,squish
0,zombie,other,42,man,Alden Eaton,10,210,0,squish
0,corpse,other,15,woman,Esmeralda May,10,205,0,squish
0,zombie,other,8,woman,Jessica King,10,200,0,squish
0,zombie,other,80,man,Kelly Ingram,10,195,0,squish
0,zombie,other,10,woman,Isla Wood,10,190,0,squish
0,injured,other,67,man,Santiago Elliott,10,185,0,squish
0,zombie,other,9,man,Kenny Farrell,10,180,0,squish
0,corpse,doctor,49,woman,Casey Chung,10,175,0,squish
0,healthy,other,12,woman,Adalynn Johnston,10,170,0,save
0,injured,other,13,woman,Andrea Eaton,10,140,0,scram
0,injured,other,67,woman,Gabrielle Serrano,10,20,0,scram
1,injured,other,69,woman,Julianne Berry,10,720,0,save
1,injured,engineer,67,woman,Kaylee Lu,10,690,0,save
1,healthy,doctor,31,man,Geoffrey Love,10,660,0,save
1,zombie,engineer,58,man,Scott Phillips,10,630,1,squish
1,zombie,other,80,woman,Haley Baker,10,625,1,squish
1,healthy,other,15,man,Gunnar Rodgers,10,620,1,save
1,zombie,other,15,woman,Taylor Acosta,10,590,1,squish
1,injured,other,37,man,Sean Tran,10,585,1,save
1,injured,other,53,man,Royal Bernard,10,555,0,save
1,zombie,other,25,man,Graham Townsend,10,525,0,squish
1,healthy,other,78,woman,Monica Simmons,10,520,0,save
1,injured,other,37,woman,Kimberly Espinosa,10,490,0,squish
1,healthy,other,26,woman,Kristie Salgado,10,485,0,save
1,healthy,other,61,woman,Teagan Booker,10,455,0,save
1,healthy,other,27,woman,Savannah Butler,10,425,0,save
1,corpse,other,14,man,Gary Dominguez,10,395,0,squish
1,injured,other,56,man,Miguel Glenn,10,390,0,squish
1,zombie,other,59,woman,Miranda Rodgers,10,385,0,squish
1,injured,other,15,woman,Therese Knox,10,380,0,save
1,corpse,other,48,man,Dwight Austin,10,350,0,squish
1,healthy,other,16,man,Miles Edwards,10,345,0,save
1,injured,doctor,30,woman,Terri Brady,10,315,0,save
1,healthy,other,50,woman,Jessica Horn,10,285,1,save
1,zombie,other,10,man,Maverick Kline,10,255,1,squish
1,zombie,other,74,man,Braeden Sandoval,10,250,1,squish
1,injured,other,17,woman,Michele Mata,10,245,1,save
1,zombie,other,47,man,Johnnie Sexton,10,215,0,squish
1,zombie,other,42,woman,Bernadette Wilcox,10,210,0,squish
1,healthy,other,76,woman,Stacy Mora,10,205,0,save
1,zombie,other,19,man,Manuel Yu,10,175,0,squish
1,injured,other,11,man,Skyler Kane,10,170,0,squish
1,healthy,other,56,man,Alijah Weiss,10,165,0,save
1,injured,other,80,man,Giovanni Strong,10,135,0,scram
1,healthy,engineer,69,man,Adolfo Dickerson,10,15,0,scram
