iteration,state,occupation,age,gender,name,capacity,time,cures,action
0,injured,other,10,woman,Helen Shepard,10,720,0,save
0,zombie,other,48,woman,Eunice Simmons,10,690,0,squish
0,healthy,other,69,man,Daryl Walsh,10,685,0,save
0,zombie,other,46,man,Gage Gibbs,10,655,0,squish
0,injured,other,64,man,Trevor Hurst,10,650,0,save
0,healthy,other,8,woman,Breanna Guzman,10,620,0,save
0,corpse,engineer,48,man,Conor Hardy,10,590,0,squish
0,injured,engineer,28,woman,Kristine Stafford,10,585,0,save
0,zombie,other,76,woman,Kaylin Parks,10,615,0,squish
0,zombie,other,10,woman,Traci Brown,10,610,0,squish
0,injured,engineer,21,man,Josh Sanders,10,605,0,save
0,zombie,doctor,56,man,Mason Lara,10,575,0,squish
0,injured,doctor,25,man,Tyler Aguilar,10,570,0,save
0,injured,engineer,45,woman,Miriam Wolf,10,540,1,save
0,injured,other,15,man,Deon Chapman,10,570,0,save
0,healthy,other,15,man,Rodolfo Patton,10,540,0,save
0,injured,other,27,woman,Juliana Curtis,10,510,0,save
0,injured,other,30,woman,Perla Pittman,10,480,0,save
0,zombie,other,50,woman,Cheri Baker,10,450,0,squish
0,injured,other,48,woman,Carole Hensley,10,445,0,scram
0,injured,other,15,man,Deon Moss,10,325,0,save
0,injured,other,31,man,Oscar Glover,10,295,0,save
0,zombie,other,14,man,Alec Hart,10,265,0,squish
0,injured,other,38,woman,Precious Vincent,10,260,0,save
0,zombie,other,15,man,Jude Reyna,10,230,0,squish
0,injured,other,19,woman,Yvonne Mathis,10,225,0,save
0,injured,other,46,woman,Cecelia Lambert,10,195,0,save
0,healthy,other,12,man,Laurence Spencer,10,165,0,save
0,injured,other,18,man,Jonas Walker,10,135,0,scram
0,zombie,other,10,woman,Susana Giles,10,15,0,scram
1,injured,other,43,man,Kurt Price,10,720,0,save
1,healthy,engineer,64,man,Emerson Maxwell,10,690,0,save
1,healthy,engineer,40,man,Tracy Gaines,10,720,0,save
1,healthy,other,16,woman,Mckenzie Richard,10,720,0,save
1,healthy,other,47,woman,Linda Villarreal,10,690,0,save
1,zombie,other,46,woman,Marguerite Stokes,10,660,0,squish
1,healthy,other,80,woman,Iris Montoya,10,655,0,save
1,injured,engineer,67,woman,Ruby Hicks,10,625,0,save
1,injured,other,8,woman,Myrna Wiggins,10,655,0,save
1,zombie,other,14,woman,Rachelle Lee,10,625,0,scram
1,healthy,doctor,48,woman,Gloria Rojas,10,505,0,save
1,healthy,other,13,woman,Alison Riley,10,475,1,save
1,healthy,other,25,man,Terrance Hardin,10,445,1,save
1,zombie,other,17,man,Brandon Lamb,10,415,1,squish
1,healthy,other,12,man,Triston Christian,10,410,1,save
1,injured,other,73,man,Jim Andersen,10,380,1,save
1,zombie,other,17,man,Adolfo Daugherty,10,350,0,squish
1,zombie,other,32,woman,Rita Wu,10,345,0,squish
1,injured,other,15,woman,Erin Ramirez,10,340,0,save
1,healthy,other,62,man,Brennan Brooks,10,310,0,save
1,healthy,doctor,26,man,Hugh Richards,10,280,0,save
1,corpse,doctor,38,woman,Ariel Friedman,10,250,1,squish
1,injured,other,20,man,Joey Guerrero,10,245,1,save
1,corpse,other,18,man,Jaiden Conway,10,215,0,scram
1,healthy,other,56,woman,Ronda Hardin,10,95,0,scram
2,zombie,other,60,man,Bart Carroll,10,720,0,squish
2,zombie,other,68,woman,Marissa Maldonado,10,715,0,squish
2,zombie,other,10,man,Vaughn Michael,10,710,0,squish
2,corpse,other,15,man,Amos Holland,10,705,0,squish
2,healthy,doctor,33,man,Collin Fitzpatrick,10,700,0,save
2,injured,other,64,man,Dale Wilkerson,10,670,1,save
2,injured,other,31,woman,Sue Sutton,10,640,0,save
2,zombie,other,27,woman,Kenzie Pineda,10,610,0,squish
2,zombie,doctor,59,man,Weston Campbell,10,605,0,squish
2,healthy,other,49,woman,Sabrina Yen-Ko,10,600,0,save
2,zombie,other,21,man,Jared Love,10,570,0,squish
2,zombie,other,66,woman,Lizbeth Peralta,10,565,0,squish
2,corpse,other,72,man,Earnest Stuart,10,560,0,squish
2,corpse,other,67,woman,Trinity Wilson,10,555,0,squish
2,injured,other,18,man,Aron Terry,10,550,0,save
2,zombie,doctor,57,man,Brenden Ayers,10,520,0,squish
2,corpse,other,68,woman,Ada Alfaro,10,515,0,squish
2,injured,other,21,man,Raul Adams,10,510,0,scram
2,healthy,other,69,woman,Nia Beil,10,390,0,save
2,healthy,other,60,woman,Kristie Landry,10,360,0,save
2,injured,doctor,59,woman,Shari Trevino,10,330,0,save
2,corpse,other,72,man,Houston Marin,10,300,0,squish
2,injured,doctor,28,woman,Lindsey Ashley,10,295,0,save
2,injured,other,16,woman,Charlie Collier,10,265,1,save
2,healthy,other,16,man,Kareem Huynh,10,235,0,save
2,injured,other,18,woman,Natalie Olson,10,205,0,save
2,injured,other,17,man,Ronnie Wise,10,175,0,save
2,injured,other,14,man,Grady Cohen,10,145,0,scram
2,injured,other,30,woman,Mckenna Alvarado,10,25,0,scram
3,zombie,other,14,man,Archer Gonzalez,10,720,0,squish
3,corpse,other,70,man,Raphael Frye,10,715,0,squish
3,corpse,doctor,31,woman,Selina Melendez,10,710,0,squish
3,corpse,other,29,woman,Colleen Barrett,10,705,0,squish
3,healthy,other,16,woman,Jordan Blake,10,700,0,save
3,injured,other,14,woman,Peyton Kane,10,670,0,save
3,zombie,other,70,woman,Elisa Lowery,10,640,0,squish
3,injured,other,14,man,Tucker Conway,10,635,0,save
3,healthy,other,10,woman,Michaela Myers,10,605,0,save
3,zombie,other,15,woman,Constance Harvey,10,575,0,squish
3,healthy,other,10,man,Ellis Marshall,10,570,0,save
3,injured,other,13,woman,Sara Valentine,10,540,0,save
3,injured,other,66,man,Carlos Kline,10,510,0,save
3,zombie,other,8,man,Dale Howard,10,480,0,squish
3,corpse,other,30,woman,Anne Blevins,10,475,0,squish
3,zombie,other,60,woman,Araceli Bentley,10,470,0,squish
3,healthy,other,55,man,Jessie Maddox,10,465,0,save
3,corpse,other,10,woman,Rachael Barber,10,435,0,squish
3,injured,other,14,man,Michael Cook,10,430,0,scram
3,healthy,other,58,man,Marcos Adams,10,310,0,save
3,healthy,engineer,65,man,Colin Holmes,10,280,0,save
3,zombie,other,41,woman,Lizbeth Buck,10,310,0,squish
3,injured,doctor,58,man,Corey Mcclure,10,305,0,save
3,healthy,other,44,man,Brennan Rocha,10,275,1,save
3,injured,other,45,man,Rick Bean,10,245,1,save
3,injured,other,9,woman,Makayla Campos,10,215,0,save
3,healthy,other,79,man,Bodhi Chandler,10,185,0,save
3,zombie,other,14,man,Wendell Burke,10,155,0,squish
3,corpse,other,22,woman,Kamila Norris,10,150,0,squish
3,healthy,other,73,man,Jackie Booth,10,145,0,scram
3,zombie,other,80,woman,Bridgette Mcintyre,10,25,0,scram
