iteration,state,occupation,age,gender,name,capacity,time,cures,action
12,injured,other,19,man,Damion Ibarra,10,720,0,save
12,injured,other,33,man,Rory Phillips,10,690,0,save
12,injured,other,39,woman,Layla Stout,10,660,0,save
12,zombie,other,17,woman,Jeanette Glass,10,630,0,squish
12,zombie,other,47,woman,Ellie Jefferson,10,625,0,squish
12,injured,other,59,man,Jay Murillo,10,620,0,save
12,injured,doctor,36,man,Emmanuel Bautista,10,590,0,save
12,injured,other,68,man,Andres Fowler,10,560,1,save
12,corpse,engineer,63,woman,Christie Guerrero,10,530,0,squish
12,healthy,other,15,man,Devan Mason,10,525,0,save
12,corpse,doctor,55,man,Jeff Young,10,495,0,squish
12,corpse,other,71,woman,Mia Lee,10,490,0,squish
12,corpse,other,14,woman,Mabel Hail,10,485,0,squish
12,zombie,other,52,man,Wayne Walls,10,480,0,squish
12,corpse,other,10,woman,Destiny Fields,10,475,0,scram
12,healthy,engineer,58,man,Simon Norris,10,355,0,save
12,zombie,other,15,man,Henry Gillespie,10,385,0,squish
12,zombie,other,77,woman,Noelle Delarosa,10,380,0,squish
12,healthy,other,80,woman,Anna Ball,10,375,0,save
12,zombie,other,78,woman,Kristie Holland,10,345,0,squish
12,corpse,engineer,46,man,Maverick Corona,10,340,0,squish
12,injured,doctor,55,man,Erick Day,10,335,0,save
12,healthy,other,75,man,Hayden Buck,10,305,1,save
12,healthy,other,10,woman,Amanda Brady,10,275,1,save
12,zombie,doctor,58,man,Clayton Solomon,10,245,1,squish
12,injured,other,68,woman,Gabriela Perry,10,240,1,save
12,injured,other,16,woman,Beth Coleman,10,210,0,skip
12,injured,other,13,woman,Terry Enriquez,10,195,0,scram
12,healthy,other,10,man,Josiah Solis,10,75,0,scram
13,injured,other,66,woman,Jada Henson,10,720,0,save
13,healthy,other,16,woman,Connie Griffith,10,690,0,save
13,zombie,other,61,woman,Jessica Bravo,10,660,0,squish
13,healthy,doctor,38,man,Cristian Acevedo,10,655,0,save
13,healthy,other,78,woman,Dolores Blanchard,10,625,1,save
13,injured,doctor,60,woman,Lois Mcintyre,10,595,1,save
13,corpse,other,11,woman,Adele Dean,10,565,1,squish
13,injured,other,20,man,Walker Wade,10,560,1,save
13,corpse,doctor,57,man,Matias Farmer,10,530,0,squish
13,healthy,other,56,woman,Sandra Beltran,10,525,0,save
13,injured,engineer,26,woman,Tammy Contreras,10,495,0,skip
13,injured,other,57,man,Alan Ferguson,10,480,0,skip
13,zombie,other,65,man,Robert Chambers,10,465,0,squish
13,zombie,other,37,woman,Kelsey Hill,10,460,0,squish
13,zombie,other,56,woman,Kiera Manning,10,455,0,squish
13,zombie,other,63,woman,Christina Freeman,10,450,0,squish
13,healthy,other,36,man,Kendrick Mcpherson,10,445,0,save
13,corpse,other,15,woman,Desiree Rivera,10,415,0,squish
13,injured,other,36,man,Prince Soto,10,410,0,scram
13,injured,other,11,woman,Kamryn Garner,10,290,0,save
13,injured,other,31,woman,Tonia Cisneros,10,260,0,save
13,injured,other,12,man,Fernando Branch,10,230,0,save
13,zombie,other,9,man,Nick Compton,10,200,0,squish
13,zombie,other,24,man,Forrest Carrillo,10,195,0,squish
13,injured,other,15,man,Braden Huffman,10,190,0,skip
13,zombie,other,75,woman,Flora Sweeney,10,175,0,squish
13,zombie,doctor,46,woman,Anya Dalton,10,170,0,squish
13,zombie,other,62,woman,Lilliana Flores,10,165,0,squish
13,healthy,other,39,woman,Marcia Bradford,10,160,0,save
13,corpse,other,29,man,Bodhi Hobbs,10,130,0,squish
13,zombie,other,72,woman,Sherrie Nash,10,125,0,squish
13,zombie,other,44,woman,Madelyn Mueller,10,120,0,scram
14,healthy,engineer,49,woman,Sierra Holmes,10,720,0,save
14,zombie,other,13,man,Ismael Gilmore,10,720,0,squish
14,injured,doctor,62,woman,Devon Barr,10,715,0,save
14,injured,other,73,man,Stanley Johnston,10,685,1,save
14,healthy,other,13,woman,Yesenia Patton,10,655,0,save
14,injured,other,29,woman,Shauna Frederick,10,625,0,skip
14,injured,other,15,woman,Doris Buchanan,10,610,0,skip
14,injured,other,73,man,Leland Novak,10,595,0,skip
14,healthy,doctor,47,woman,Cora Benjamin,10,580,0,save
14,zombie,other,52,man,Nehemiah Boone,10,550,1,squish
14,healthy,other,49,man,Nikolas Dillon,10,545,1,save
14,injured,other,16,woman,Stephanie Sloan,10,515,1,save
14,healthy,other,29,man,Boyd Mullen,10,485,0,save
14,injured,other,11,man,Ezekiel Rich,10,455,0,scram
14,healthy,other,10,man,Antonio Peters,10,335,0,save
14,corpse,other,69,man,Ross Arellano,10,305,0,squish
14,healthy,other,72,woman,Sierra Carroll,10,300,0,save
14,healthy,other,23,man,Felipe Thornton,10,270,0,save
14,corpse,other,53,woman,Sheena Acosta,10,240,0,squish
14,injured,other,10,woman,Lora Gonzales,10,235,0,skip
14,injured,other,38,woman,Loretta Richard,10,220,0,skip
