iteration,state,occupation,age,gender,name,capacity,time,cures,action
12,zombie,other,62,man,Leon Brown,10,716,0,squish
12,corpse,doctor,46,woman,Evelyn Lynn,10,707,0,skip
12,healthy,other,9,man,Jonathan Mcgee,10,689,0,save
12,zombie,other,54,man,Toby Taylor,10,657,0,squish
12,injured,other,10,woman,Eloise Maldonado,10,649,0,save
12,healthy,other,35,man,Dwayne Brewer,10,616,0,save
12,injured,other,8,man,Earl Farley,10,581,0,save
12,zombie,other,50,woman,Dolores Everett,10,548,0,squish
12,injured,doctor,58,woman,Sydney Hernandez,10,538,0,save
12,injured,other,68,man,Royce Serrano,10,501,0,save
12,healthy,engineer,39,man,Moses Martin,10,469,0,save
12,injured,other,9,man,Rodolfo Bishop,10,496,0,save
12,zombie,other,8,woman,Kelli Fuentes,10,462,0,squish
12,corpse,other,13,woman,Norah Walsh,10,450,0,skip
12,corpse,other,70,woman,Ciara Hancock,10,428,0,save
12,zombie,other,70,woman,Karissa Knight,10,392,0,skip
12,zombie,engineer,61,woman,Katelynn Francis,10,374,0,skip
12,injured,other,36,woman,Dina Portillo,10,357,0,save
12,injured,other,71,man,Felix Sellers,10,325,0,save
12,healthy,other,70,woman,Louise Knight,10,292,0,save
12,healthy,other,19,man,David Frost,10,260,0,save
12,injured,other,25,man,Adrian Serrano,10,226,0,save
12,injured,other,69,man,Johnny Frye,10,193,0,save
12,zombie,other,11,man,Peter Sparks,10,161,0,scram
12,injured,other,10,man,Morgan Reilly,10,35,0,scram
13,injured,other,71,woman,Cora Rangel,10,716,0,save
13,zombie,other,62,woman,Amaya Allison,10,681,0,skip
13,injured,other,59,man,Alvin Pitts,10,663,0,save
13,healthy,other,43,woman,Morgan Rodgers,10,631,0,save
13,healthy,doctor,55,woman,Yesenia Bradshaw,10,599,0,save
13,zombie,other,15,woman,Nina Ingram,10,566,1,skip
13,zombie,other,22,man,Lorenzo Campos,10,549,1,skip
13,healthy,other,36,man,Cash Mcguire,10,532,1,save
13,healthy,other,14,man,Albert Lucas,10,500,1,save
13,corpse,other,8,woman,Alaina Khan,10,467,1,skip
13,injured,doctor,35,woman,Ximena Skinner,10,449,1,save
13,healthy,other,63,man,Marshall Delarosa,10,417,1,save
13,injured,other,57,man,Kurt Merritt,10,384,1,save
13,zombie,engineer,68,woman,Kirsten Griffin,10,351,0,skip
13,healthy,other,80,man,Austin Colon,10,334,0,save
13,corpse,doctor,47,man,Donnell Le,10,301,0,save
13,zombie,other,24,woman,Isabel Tate,10,268,0,scram
13,zombie,other,39,woman,Aspen Simmons,10,144,0,skip
13,healthy,other,15,man,Jaxon Sanford,10,125,0,scram
13,healthy,other,24,woman,Sabrina Velez,10,4,0,scram
