iteration,state,occupation,age,gender,name,capacity,time,cures,action
0,injured,other,27,woman,Jackie Murray,10,720,0,save
0,injured,other,13,man,Jax Boone,10,690,0,save
0,zombie,other,62,man,Erik Luna,10,660,0,squish
0,zombie,engineer,59,woman,Lea Kirby,10,655,0,squish
0,injured,other,12,man,Irving Evans,10,650,0,save
0,corpse,other,44,man,Caiden Gray,10,620,0,squish
0,injured,other,43,man,Rafael Coleman,10,615,0,save
0,zombie,other,10,woman,Laurel Malone,10,585,0,squish
0,injured,other,53,man,Mark Marin,10,580,0,save
0,healthy,other,73,woman,Krista Bravo,10,550,0,save
0,zombie,engineer,42,man,Grayson Santos,10,520,0,squish
0,injured,doctor,57,man,Doug Flowers,10,515,0,save
0,injured,other,47,man,Jim Greer,10,485,1,save
0,zombie,other,63,woman,Ashton Robles,10,455,0,squish
0,injured,other,68,woman,Tonya Greene,10,450,0,save
0,healthy,other,75,man,Adriel Robbins,10,420,0,save
0,injured,other,17,woman,Callie Cano,10,390,0,save
0,zombie,other,17,woman,Vanessa Rich,10,360,0,squish
0,zombie,other,29,woman,Camilla Griffin,10,355,0,save
0,zombie,other,33,man,Randal Garrison,10,325,0,squish
0,injured,other,49,man,Shane Walker,10,320,0,save
0,healthy,other,13,woman,Rebecca Pennington,10,290,0,save
0,zombie,engineer,56,woman,Dianna Wade,10,260,0,squish
0,corpse,other,17,woman,Eleanor Roman,10,255,0,squish
0,zombie,other,34,man,Lucas Helms,10,250,0,squish
0,corpse,other,72,man,Terrence Decker,10,245,0,squish
0,healthy,other,70,man,Kendrick Dunn,10,240,0,save
0,zombie,engineer,52,woman,Sarai Schmidt,10,210,0,squish
0,zombie,other,53,man,Kane Rogers,10,205,0,squish
0,injured,other,35,man,Derick Murillo,10,200,0,save
0,healthy,other,59,man,Darrell Boyer,10,170,0,save
0,injured,other,51,man,Landon Norman,10,140,0,scram
0,injured,other,26,man,Nelson Robbins,10,20,0,scram
1,zombie,other,16,man,Eugene Roberts,10,720,0,squish
1,healthy,doctor,42,man,Mickey Sellers,10,715,0,save
1,injured,other,63,woman,Eve Boyer,10,685,1,save
1,healthy,other,80,man,Johnnie Clarke,10,655,0,save
1,healthy,doctor,62,woman,Jasmine Wright,10,625,0,save
1,corpse,other,74,woman,Chasity Hart,10,595,1,squish
1,corpse,engineer,66,man,Kade Diaz,10,590,1,squish
1,healthy,other,70,man,Derrick Christian,10,585,1,save
1,zombie,other,49,man,Carlton Burton,10,555,1,squish
1,corpse,other,79,man,Aidan Wheeler,10,550,1,squish
1,zombie,other,17,man,Karson Everett,10,545,1,squish
1,zombie,other,18,woman,Irma Mccarthy,10,540,1,squish
1,healthy,other,48,woman,Bertha Proctor,10,535,1,save
1,healthy,engineer,26,woman,Amari Meyers,10,505,1,save
1,zombie,other,29,woman,Gabriella Alfaro,10,535,1,squish
1,zombie,other,77,man,Orion Leon,10,530,1,squish
1,zombie,other,14,man,Glen Miller,10,525,1,squish
1,healthy,other,64,woman,Seonyoung Lee,10,520,1,save
1,corpse,other,9,man,Lyle Boyd,10,490,1,squish
1,injured,other,40,man,Emmanuel Lawrence,10,485,1,save
