iteration,state,occupation,age,gender,name,capacity,time,cures,action
0,zombie,other,51,woman,Rylee Berg,10,720,0,squish
0,zombie,engineer,64,man,Norman Terrell,10,715,0,squish
0,injured,other,21,man,Emerson Davis,10,710,0,save
0,healthy,other,10,woman,Leilani Pearson,10,680,0,save
0,healthy,other,51,man,Lamar Kirk,10,650,0,save
0,zombie,engineer,27,man,Luka Person,10,620,0,squish
0,zombie,other,16,woman,Yesenia Bradford,10,615,0,squish
0,injured,other,14,man,Moses Lindsey,10,610,0,save
0,zombie,other,55,man,Chance Davila,10,580,0,squish
0,healthy,other,13,man,Paxton Young,10,575,0,save
0,healthy,other,10,woman,Myla Jacobs,10,545,0,save
0,zombie,other,74,woman,Callie Santiago,10,515,0,squish
0,injured,other,14,man,Jay Goodwin,10,510,0,save
0,zombie,other,54,woman,Heaven Blackburn,10,480,0,squish
0,healthy,other,12,man,Donny Boyd,10,475,0,save
0,healthy,other,18,man,Niko Medrano,10,445,0,save
0,injured,other,9,woman,Destiny Ramsey,10,415,0,save
0,healthy,engineer,60,woman,Janelle Caldwell,10,385,0,save
0,injured,other,76,woman,Joanne Lynch,10,415,0,squish
0,zombie,other,15,man,Connor Hammond,10,410,0,squish
0,zombie,other,13,man,Mike Friedman,10,405,0,squish
0,healthy,doctor,55,man,Benjamin Woodard,10,400,0,save
0,zombie,other,8,woman,Nikki Walters,10,370,1,squish
0,injured,other,53,man,Ezequiel Ross,10,365,1,squish
0,zombie,other,48,woman,Sheena Clayton,10,360,1,squish
0,injured,other,14,man,Timothy Hernandez,10,355,1,save
0,healthy,engineer,40,man,Marty Salas,10,325,0,save
0,zombie,other,61,woman,Lara Rosales,10,355,0,scram
0,injured,other,68,woman,Joy Huber,10,235,0,save
0,injured,other,19,man,Otis Berry,10,205,0,save
0,healthy,engineer,68,man,Tristen Houston,10,175,0,save
0,healthy,other,36,man,Nikolas Tang,10,205,0,save
0,healthy,engineer,64,man,Ronald James,10,175,0,save
0,zombie,other,71,woman,Jaclyn Orr,10,205,0,squish
0,zombie,other,12,man,Marvin Garner,10,200,0,squish
0,corpse,other,61,man,Milo Contreras,10,195,0,skip
0,zombie,other,64,man,Freddie Cochran,10,180,0,squish
0,zombie,other,66,woman,Brenda Mclean,10,175,0,squish
0,injured,other,46,man,Earnest Chang,10,170,0,save
0,zombie,doctor,59,man,Rhett Daugherty,10,140,0,scram
0,injured,engineer,53,woman,Felicia Fry,10,20,0,scram
