iteration,state,occupation,age,gender,name,capacity,time,cures,action
0,corpse,engineer,61,woman,Tracy Vu,10,714,0,skip
0,healthy,other,60,man,Sam Rosario,10,697,0,save
0,zombie,other,17,man,Alexander Wang,10,664,0,squish
0,healthy,engineer,21,woman,Christie Boyle,10,656,0,save
0,zombie,other,60,woman,Teresa Macdonald,10,683,0,squish
0,healthy,other,75,woman,Anastasia Frye,10,674,0,save
0,injured,other,27,woman,Paola Hardy,10,635,0,save
0,injured,other,32,man,Ezekiel Morgan,10,603,0,save
0,zombie,other,13,woman,Wilma Larsen,10,566,0,squish
0,injured,other,9,woman,Judy Walter,10,557,0,save
0,zombie,other,9,woman,Gwendolyn Rojas,10,524,0,squish
0,zombie,other,63,man,Israel Peterson,10,513,0,squish
0,injured,other,8,man,Desmond Lyons,10,505,0,save
0,zombie,other,62,woman,Beverly Butler,10,472,0,squish
0,injured,other,8,man,Forrest Vaughn,10,461,0,skip
0,injured,other,15,man,Asa Chandler,10,443,0,skip
0,zombie,other,61,man,Hugh Meza,10,425,0,squish
0,injured,other,51,man,Brock Navarro,10,416,0,skip
0,injured,other,71,man,Daniel Peters,10,400,0,skip
0,injured,other,69,man,Waylon Doyle,10,383,0,skip
0,zombie,other,18,woman,Emma Villarreal,10,365,0,squish
0,healthy,other,67,man,Bob Conrad,10,358,0,save
0,healthy,other,16,man,Jim Shannon,10,326,0,save
0,zombie,other,11,woman,Irene Vance,10,293,0,squish
0,healthy,other,70,woman,Stefanie George,10,286,0,save
0,injured,other,40,man,Jeremiah Patrick,10,251,0,skip
0,healthy,other,22,man,Ricardo Melton,10,234,0,save
0,healthy,other,57,woman,Sheryl Proctor,10,202,0,save
0,zombie,other,10,woman,Nancy Williams,10,169,0,squish
0,injured,doctor,56,man,Brian Mendoza,10,159,0,save
0,injured,other,16,man,Andy Harrington,10,119,1,scram
1,injured,other,9,man,Dawson Chase,10,714,0,save
1,injured,other,76,man,Charlie Howell,10,682,0,save
1,zombie,other,16,man,Luciano Cobb,10,649,0,squish
1,injured,other,25,man,Demetrius Conley,10,641,0,save
1,zombie,other,62,woman,Jennifer Mendoza,10,609,0,squish
1,injured,other,14,man,Tom Weeks,10,601,0,skip
1,injured,doctor,50,man,Rhys Garrison,10,584,0,save
1,zombie,other,40,woman,Katherine Miranda,10,550,0,squish
1,injured,other,66,man,Royce Browning,10,543,0,save
1,injured,other,66,woman,Edith Barnett,10,511,0,save
1,corpse,other,68,man,Cole Velez,10,479,0,skip
1,injured,doctor,47,woman,Jasmine Hendricks,10,462,0,save
1,zombie,doctor,57,man,Efrain Keith,10,428,1,squish
1,injured,other,27,man,Stefan Avery,10,420,1,save
1,corpse,other,59,man,Alexander Wang,10,385,0,skip
1,zombie,other,20,woman,Mariana Howard,10,367,0,squish
1,injured,other,55,woman,Terrie Rogers,10,358,0,skip
1,healthy,other,20,man,Grayson Mcdowell,10,341,0,save
1,injured,other,30,woman,Carla Benson,10,309,0,skip
1,healthy,doctor,60,man,King Atkinson,10,292,0,save
1,injured,other,15,woman,Sabrina Yen-Ko,10,259,1,squish
1,zombie,other,65,woman,Nikki Owen,10,241,1,squish
1,corpse,other,12,woman,Hattie Mcmillan,10,232,1,skip
1,injured,other,42,woman,Renee Crawford,10,214,1,save
1,zombie,other,10,man,Wyatt Keith,10,181,0,squish
1,injured,other,33,man,Alexander Wang,10,173,0,skip
1,injured,other,74,man,Darren Thompson,10,154,0,squish
1,healthy,other,9,woman,Jody Norris,10,140,0,scram
1,corpse,engineer,59,woman,Naomi Durham,10,18,0,scram
