iteration,state,occupation,age,gender,name,capacity,time,cures,action
12,injured,other,35,woman,Gladys Vargas,10,717,0,save
12,injured,other,61,man,Solomon Bowman,10,685,0,save
12,healthy,other,13,man,Corey Morrow,10,653,0,save
12,injured,other,15,man,Martin Diaz,10,620,0,save
12,injured,other,17,woman,Madison Delgado,10,587,0,skip
12,healthy,other,72,man,Jett Mueller,10,570,0,save
12,zombie,other,29,woman,Marcia Delgado,10,538,0,squish
12,injured,other,8,man,Philip Hanson,10,529,0,skip
12,zombie,doctor,45,woman,Asia Andersen,10,512,0,squish
12,healthy,other,61,man,Augustus Carson,10,505,0,save
12,corpse,other,16,man,Khalil Hodges,10,473,0,squish
12,injured,other,50,woman,Carmen Rogers,10,465,0,scram
12,zombie,other,66,man,Oscar Stafford,10,342,0,squish
12,healthy,other,13,woman,Silvia Villanueva,10,335,0,save
12,injured,other,60,woman,Jayda Crane,10,303,0,save
12,healthy,doctor,35,man,Ulises Bartlett,10,271,0,save
12,healthy,other,27,man,Courtney Paul,10,240,1,save
12,zombie,other,36,man,Kurtis Baldwin,10,208,1,squish
12,zombie,engineer,56,man,Tobias Thornton,10,201,1,squish
12,healthy,other,43,man,Raul Cox,10,195,1,save
12,corpse,other,22,woman,Chanel Mcconnell,10,163,1,squish
12,injured,other,70,woman,Marisol Jennings,10,157,1,save
12,healthy,other,78,man,Ron Mccormick,10,124,0,scram
13,injured,other,8,woman,Ashlee Park,10,716,0,save
13,zombie,other,16,man,Stacey Davila,10,685,0,squish
13,healthy,other,49,man,Odin Price,10,678,0,save
13,healthy,other,75,woman,Macie Jones,10,647,0,save
13,injured,other,48,woman,Elisa Nixon,10,615,0,save
13,healthy,other,65,man,Ronald Elliott,10,583,0,save
13,corpse,other,11,man,Maurice Marquez,10,551,0,squish
13,zombie,other,44,woman,Joan Rocha,10,544,0,squish
13,healthy,other,12,woman,Gladys Hobbs,10,538,0,save
13,healthy,engineer,55,woman,Tamika Fowler,10,507,0,save
13,corpse,other,9,woman,Cierra Navarro,10,534,0,scram
13,zombie,other,26,woman,Tatiana Goodwin,10,412,0,squish
13,healthy,other,15,woman,Jillian Fisher,10,405,0,save
13,injured,other,36,man,Benito Bean,10,374,0,save
13,healthy,other,17,woman,Jami George,10,342,0,save
13,zombie,engineer,57,woman,Ayla Boyd,10,311,0,squish
13,zombie,other,79,man,Dane Nelson,10,304,0,squish
13,corpse,other,13,woman,Emma Stewart,10,298,0,squish
13,zombie,other,19,woman,Addison Horton,10,291,0,squish
13,healthy,other,71,woman,Willow Farley,10,285,0,save
13,healthy,other,10,man,Fred Fox,10,254,0,save
13,injured,other,60,man,Peyton Oliver,10,221,0,skip
13,zombie,other,11,woman,Madelynn Marks,10,204,0,squish
13,injured,doctor,62,woman,Trinity Whitaker,10,195,0,skip
13,injured,other,22,woman,Kylie Reed,10,178,0,skip
13,zombie,other,27,woman,Patricia Jackson,10,161,0,squish
13,zombie,other,14,woman,Sheryl Compton,10,155,0,squish
13,zombie,other,40,woman,Sonya Nava,10,148,0,squish
13,injured,doctor,38,man,Lynn Oneal,10,140,0,skip
13,corpse,other,78,woman,Edith Arellano,10,122,0,scram
14,corpse,other,42,man,Mohamed Rodriguez,10,717,0,squish
14,zombie,engineer,65,woman,Raquel Prince,10,710,0,squish
14,corpse,engineer,68,man,Kayson Orr,10,703,0,squish
14,injured,other,8,woman,Krystal French,10,696,0,save
14,injured,other,9,man,Deon Robertson,10,665,0,save
14,injured,other,13,woman,Jeanine Huff,10,633,0,save
14,healthy,engineer,20,man,Dawson Alvarado,10,602,0,save
14,healthy,other,80,woman,Willa Weaver,10,630,0,save
14,corpse,other,11,woman,Cassie Yu,10,598,0,squish
14,injured,other,71,man,Alexander Wang,10,586,0,save
14,zombie,other,9,woman,Simone Anderson,10,554,0,squish
14,zombie,other,39,woman,Lucy Mata,10,547,0,squish
14,healthy,other,75,man,Nash Davidson,10,540,0,save
14,injured,other,12,man,Geoffrey Elliott,10,507,0,skip
14,zombie,other,23,woman,Michele Novak,10,490,0,squish
14,injured,doctor,48,man,Leo Molina,10,481,0,scram
14,injured,other,10,woman,Tami Grimes,10,360,0,save
14,injured,other,12,woman,Rosalie Griffin,10,328,0,save
