iteration,state,occupation,age,gender,name,capacity,time,cures,action
12,healthy,other,60,man,Rafael Yoder,10,720,0,save
12,zombie,other,22,woman,Gail Branch,10,690,0,squish
12,healthy,doctor,65,man,Dax Ramirez,10,685,0,save
12,injured,other,69,man,Adan Cook,10,655,1,save
12,healthy,other,10,woman,Estella Aguirre,10,625,0,save
12,zombie,other,17,man,Spencer Mcdonald,10,595,0,squish
12,injured,other,79,woman,Lola Conley,10,590,0,skip
12,injured,doctor,49,man,Jackson Bridges,10,575,0,save
12,corpse,other,9,man,Dana Barry,10,545,1,squish
12,zombie,other,62,man,Killian Pierce,10,540,1,squish
12,healthy,other,39,woman,Lyric Garrett,10,535,1,save
12,healthy,other,10,man,Lucas Hanna,10,505,1,save
12,zombie,other,16,man,Dawson Caldwell,10,475,1,squish
12,healthy,other,60,woman,Aileen Lee,10,470,1,save
12,injured,other,67,woman,Adele Calhoun,10,440,1,save
12,zombie,other,10,man,Reginald Clayton,10,410,0,squish
12,corpse,other,13,man,Aiden Oneill,10,405,0,squish
12,injured,other,13,man,Dean Dean,10,400,0,save
12,corpse,other,10,man,Grady Horton,10,370,0,scram
12,healthy,other,14,woman,Shelly Murphy,10,250,0,save
12,injured,other,34,woman,Danielle Mueller,10,220,0,skip
12,injured,doctor,48,man,Colton Adkins,10,205,0,save
12,healthy,other,14,woman,Miracle Griffith,10,175,1,save
12,injured,other,28,woman,Brynlee Brock,10,145,1,scram
12,injured,other,41,woman,Heidi Andrews,10,25,0,scram
13,zombie,doctor,57,man,Lionel Kane,10,720,0,squish
13,zombie,other,25,man,Edwin Burgess,10,715,0,squish
13,zombie,engineer,65,man,Jayceon Howard,10,710,0,squish
13,healthy,other,59,woman,Deana Vo,10,705,0,save
13,healthy,other,71,man,Roman Solis,10,675,0,save
13,injured,other,45,man,Alvin Rowland,10,645,0,save
13,injured,other,50,man,Noel Walsh,10,615,0,skip
13,zombie,other,39,man,Josh Oconnell,10,600,0,squish
13,zombie,engineer,25,woman,Chloe Wade,10,595,0,squish
13,injured,other,77,man,Doyle Turner,10,590,0,save
13,injured,other,12,man,Jarred Davila,10,560,0,save
13,corpse,other,33,man,Matias Mcdonald,10,530,0,squish
13,zombie,other,70,woman,Marisa Mcmahon,10,525,0,squish
13,injured,other,26,man,Adolfo Mitchell,10,520,0,save
13,healthy,doctor,58,woman,Haven Lozano,10,490,0,save
13,zombie,other,57,woman,Ivy Barrera,10,460,1,squish
13,zombie,other,40,man,Jose Bass,10,455,1,squish
13,zombie,other,67,woman,Josephine Fry,10,450,1,squish
13,healthy,other,28,woman,Tracy Ruiz,10,445,1,save
13,zombie,other,30,man,Terrance Snow,10,415,1,squish
13,zombie,doctor,59,woman,Karla Horton,10,410,1,squish
13,injured,doctor,61,man,Benny Bates,10,405,1,save
13,injured,other,42,man,Bruno Wallace,10,375,1,save
13,injured,other,28,woman,Marcy Dyer,10,345,0,skip
13,healthy,other,79,man,Jamison Sandoval,10,330,0,save
13,zombie,other,14,woman,Annette Lara,10,300,0,squish
13,zombie,other,39,man,Jayden Love,10,295,0,squish
13,zombie,other,78,woman,Abby Benjamin,10,290,0,squish
13,healthy,other,55,woman,Seonyoung Lee,10,285,0,save
13,injured,other,14,man,Jamal Bradford,10,255,0,skip
13,zombie,other,50,man,Milan Beltran,10,240,0,squish
