iteration,state,occupation,age,gender,name,capacity,time,cures,action
12,zombie,other,53,man,Harold Ford,10,718,0,squish
12,zombie,other,76,woman,Julissa Whitney,10,711,0,squish
12,injured,other,50,man,Royal Higgins,10,704,0,save
12,zombie,other,13,woman,Makenna Sandoval,10,673,0,squish
12,injured,engineer,64,woman,Aria Mack,10,666,0,save
12,injured,engineer,63,woman,Perla Kim,10,695,0,save
12,healthy,other,71,woman,Morgan Gibson,10,664,0,save
12,corpse,doctor,63,woman,Ginger Simon,10,632,0,squish
12,healthy,other,24,woman,Diane Huff,10,626,0,save
12,corpse,other,67,woman,Aniyah Conway,10,594,0,skip
12,zombie,engineer,57,woman,Josie Matthews,10,578,0,squish
12,injured,other,28,man,Jordon Magana,10,571,0,save
12,injured,other,58,man,Darin Parsons,10,540,0,save
12,corpse,other,15,man,Deshawn Nichols,10,508,0,squish
12,corpse,engineer,60,man,Corey Scott,10,502,0,skip
12,injured,other,12,man,Gianni Griffin,10,485,0,skip
12,injured,other,73,woman,Francine Andersen,10,469,0,skip
12,injured,other,62,man,Eugene Wise,10,453,0,skip
12,zombie,other,71,woman,Katelyn Martin,10,437,0,squish
12,healthy,doctor,56,man,Russell Yang,10,430,0,save
12,injured,other,11,man,Maurice Kane,10,399,1,save
12,injured,engineer,67,man,Vince Ruiz,10,367,0,skip
12,corpse,engineer,66,man,Colten Griffin,10,350,0,skip
12,injured,other,51,woman,Susanne Sandoval,10,334,0,skip
12,healthy,engineer,38,woman,Ladonna Hall,10,317,0,save
12,healthy,engineer,60,woman,Jill Le,10,346,0,save
12,zombie,other,78,man,Steve Trejo,10,373,0,scram
12,healthy,other,20,man,Maximus Mcdonald,10,252,0,save
12,healthy,other,30,man,Lucas Helms,10,221,0,save
12,healthy,other,74,man,Bret Valdez,10,190,0,save
12,zombie,other,74,man,Marcus Pollard,10,159,0,squish
12,corpse,other,16,man,Hudson Harrington,10,153,0,squish
12,injured,engineer,57,man,Tyrell Howe,10,144,0,scram
12,healthy,engineer,51,woman,Kylie Mueller,10,24,0,scram
