iteration,state,occupation,age,gender,name,capacity,time,cures,action
12,injured,other,8,woman,Therese Myers,10,720,0,save
12,corpse,doctor,50,woman,Alexa Wise,10,690,0,squish
12,injured,engineer,59,woman,Jocelyn Figueroa,10,685,0,save
12,healthy,other,70,woman,April Mccann,10,655,0,save
12,injured,other,15,woman,Blair Davidson,10,625,0,save
12,zombie,other,13,man,Brett Holloway,10,595,0,squish
12,zombie,doctor,48,man,Aaron Stout,10,590,0,save
12,corpse,other,34,woman,Ronda Bowen,10,560,0,squish
12,injured,other,29,man,Perry Becker,10,555,0,save
12,injured,other,13,woman,Desiree Adkins,10,525,0,save
12,injured,other,68,man,Stefan Suarez,10,495,0,save
12,corpse,other,16,woman,Ingrid Xiong,10,465,0,skip
12,injured,other,68,woman,Dianna Ramos,10,450,0,save
12,zombie,other,15,man,Camden Wise,10,420,0,squish
12,zombie,other,68,man,Reed Kerr,10,415,0,squish
12,zombie,other,76,woman,Fiona Greene,10,410,0,squish
12,zombie,other,16,woman,Mikaela Ventura,10,405,0,squish
12,zombie,other,45,man,Bruno Mata,10,400,0,squish
12,injured,engineer,70,woman,Renee Garza,10,395,0,skip
12,zombie,other,79,man,Tyler Mercado,10,380,0,squish
12,healthy,other,29,man,Carter Charles,10,375,0,save
12,injured,doctor,54,woman,Yvette Brock,10,345,0,skip
12,zombie,other,13,woman,Devin Terrell,10,330,0,scram
12,injured,other,8,man,Nikolas Patton,10,210,0,save
12,healthy,other,68,man,Tyler Finley,10,180,0,save
12,injured,other,10,woman,Ebony Dominguez,10,150,0,save
12,zombie,other,14,woman,Lori Barry,10,120,0,scram
13,healthy,other,20,man,Braylen Meza,10,720,0,save
13,healthy,other,64,woman,Lesley Andrade,10,690,0,save
13,healthy,doctor,55,woman,Maxine Sellers,10,660,0,save
13,zombie,other,68,man,Buddy Stafford,10,630,1,skip
13,zombie,other,73,man,Walker Daniel,10,615,1,skip
13,zombie,other,16,woman,Piper Curry,10,600,1,skip
13,injured,other,49,woman,Annabelle Tucker,10,585,1,save
13,healthy,other,67,man,Salvador Hendrix,10,555,0,save
13,corpse,other,64,woman,Antonia Rosales,10,525,0,scram
13,healthy,other,8,man,Jessie Carson,10,405,0,save
13,zombie,engineer,55,man,Lonnie Blankenship,10,375,0,squish
13,injured,other,67,man,Roderick Haynes,10,370,0,save
13,corpse,engineer,55,man,Phillip Rowe,10,340,0,squish
13,healthy,doctor,60,woman,Hadley Mcconnell,10,335,0,save
13,injured,other,18,man,Alvin Pena,10,305,1,save
13,corpse,other,9,woman,Mildred Trevino,10,275,0,scram
13,healthy,other,68,woman,Carrie Green,10,155,0,save
13,healthy,other,56,woman,Debra Atkins,10,125,0,scram
13,healthy,other,38,woman,Nathalie Villalobos,10,5,0,scram
