iteration,state,occupation,age,gender,name,capacity,time,cures,action
0,healthy,other,29,man,Kason Villa,10,713,0,save
0,healthy,other,15,woman,Mallory Proctor,10,680,0,save
0,healthy,other,12,woman,Brooklynn Harris,10,648,0,save
0,healthy,engineer,30,man,Tristan Farley,10,616,0,save
0,zombie,other,58,man,Elvis Stewart,10,643,0,squish
0,zombie,other,77,man,Glen Marsh,10,636,0,squish
0,zombie,other,24,woman,Olivia Saunders,10,628,0,squish
0,healthy,other,80,man,Landon Espinoza,10,621,0,save
0,healthy,other,15,woman,Marjorie Hanson,10,589,0,save
0,zombie,other,17,man,Conrad Grimes,10,557,0,squish
0,healthy,other,56,woman,Lyla Austin,10,549,0,save
0,injured,other,15,woman,Olive Walton,10,516,0,squish
0,injured,other,46,man,Elvis Cortes,10,509,0,squish
0,zombie,other,68,woman,Emily Robbins,10,502,0,squish
0,zombie,other,13,woman,Rosemary Clay,10,494,0,squish
0,healthy,other,9,man,Jackson Tapia,10,487,0,save
0,healthy,other,79,man,Cyrus Orr,10,455,0,save
0,injured,other,63,man,Edward Tanner,10,422,0,squish
0,injured,engineer,70,woman,Ashleigh Mahoney,10,412,0,save
0,injured,doctor,59,man,Branden Mcguire,10,440,0,scram
0,healthy,other,13,man,Alexander Wang,10,317,0,save
0,zombie,other,31,woman,Maribel Yu,10,284,0,squish
0,zombie,other,49,man,Elvis Smith,10,277,0,squish
0,injured,other,37,woman,Jody Pierce,10,269,0,squish
0,zombie,other,24,woman,Sheryl Maldonado,10,261,0,squish
0,healthy,other,12,man,Rowan Moody,10,254,0,save
0,zombie,other,12,woman,Ingrid Hudson,10,221,0,squish
0,zombie,engineer,60,man,Jeffrey Bryan,10,214,0,squish
0,injured,other,9,man,Kristian Mckay,10,206,0,squish
0,healthy,other,56,man,Richard Sutton,10,199,0,save
0,healthy,other,9,woman,Kristina Stein,10,165,0,squish
0,zombie,other,14,man,Roy Wong,10,158,0,squish
0,corpse,other,75,woman,Ernestine Hardy,10,151,0,squish
0,injured,doctor,64,man,Matias Felix,10,139,0,squish
0,zombie,other,42,man,Declan Beltran,10,132,0,squish
0,zombie,other,14,woman,Lorena Crane,10,125,0,squish
0,corpse,other,15,woman,Dena Jefferson,10,112,0,scram
1,zombie,engineer,66,man,Alden Phelps,10,715,0,squish
1,healthy,other,27,man,Alejandro Lowery,10,708,0,save
1,injured,other,17,woman,Ethel Petersen,10,674,0,save
1,healthy,engineer,44,woman,Julie Lam,10,639,0,save
1,corpse,other,59,man,Layne Hopkins,10,666,0,squish
1,zombie,other,64,woman,Tatum Terrell,10,658,0,squish
1,corpse,other,49,woman,Daniella Harmon,10,651,0,squish
